gene	T_cell	T_CD8	T_CD4_reg	T_eff	T_naive	T_CD8_ex	T_TFH	B_cell	Plasma	Plasma_IGA	Plasma_IGG	Macrophage	Macrophage_M1	Macrophage_M2	Macrophage_Angiogenesis	Macrophage_Phagocytosis	CAF	iCAF	mCAF	apCAF
FYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HEY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ITGAV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PDGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PTK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
STC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TNFAIP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TYMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
VAV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
VCAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MERTK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1QB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
COL1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL2A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
COL6A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
CXCL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CXCL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TAGLN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-DPB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-DPB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-DQA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-DRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-DRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
